開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),投標最後一天平均成交價,撥券日開盤價,可轉債個股投標最後一天均價
2018/10/30,信紘,6667,櫃檯買賣,初上櫃,美國標,"2,143",33.9,1,277,50,400,2018/11/13,第一金,"79,344,310",4.2,352,"4,473",35,46,37.02,37.02,43.64,37.5,
2018/10/15,誠泰科技,4767,櫃檯買賣,初上櫃,美國標,"1,864",16.22,2,242,50,400,2018/10/29,凱基,"34,454,820",4.5,162,"4,121",17.35,21,18.48,18,21.88,19.05,
2018/10/8,天正國際,6654,櫃檯買賣,初上櫃,美國標,"2,536",65.22,1,326,50,400,2018/10/23,台新,"186,592,210",4.5,417,"4,710",70.25,99,73.58,73.58,85.17,74.5,
2018/10/8,均華,6640,櫃檯買賣,初上櫃,美國標,"1,741",31.25,2,217,50,400,2018/10/23,凱基,"68,858,310",4.5,515,"8,843",38.6,56,39.55,37.5,45.68,37.5,
2018/10/4,上海商銀,5876,集中交易市場,初上市,美國標,"16,000",25.02,2,"2,000",50,400,2018/10/19,華南,"548,976,840",4.5,"2,970","113,100",33.12,39,34.31,32.28,36.8,35,
2018/10/2,天鈺,4961,集中交易市場,初上市,美國標,"12,852",29.2,1,"1,606",50,400,2018/10/17,福邦,"484,658,590",4.5,944,"20,879",34.1,41.22,37.71,33,44.54,36.9,
2018/9/18,科際精密,4568,櫃檯買賣,初上櫃,美國標,"1,877",65.22,2,244,50,400,2018/10/3,永豐金,"166,723,400",4.5,654,"10,356",86.2,95.5,88.82,75,100.63,90.9,
2018/9/7,基士德-KY,6641,集中交易市場,第一上市初上市,美國標,"2,719",62.5,1,365,50,400,2018/9/21,永豐金,"219,225,960",4.5,933,"14,627",78.1,96.96,80.63,75,,85.5,
2018/9/4,達邦蛋白,6578,櫃檯買賣,初上櫃,美國標,"2,380",18.18,2,317,50,400,2018/9/18,永豐金,"57,275,790",4.5,785,"17,424",23.52,27.02,24.07,20,27.3,24,
2018/8/30,群翊,6664,櫃檯買賣,初上櫃,美國標,"3,400",46.22,1,455,50,400,2018/9/12,福邦,"218,048,010",4.5,"1,036","13,434",63.1,69,64.13,55,72.45,65,
2018/8/30,建新國際,8367,集中交易市場,初上市,美國標,"5,531",17.31,2,794,50,400,2018/9/12,凱基,"117,448,990",4.5,668,"19,402",20.62,24,21.23,20.08,23.97,21.4,
2018/8/1,全球,4540,集中交易市場,初上市,美國標,"7,752",79,1,"1,069",50,400,2018/8/15,第一金,"901,072,370",4.5,"2,753","29,975",113.9,133.69,116.24,94.8,132.08,120,
2018/8/1,商億-KY,8482,集中交易市場,第一上市初上市,美國標,"7,999",100,1,"1,150",50,400,2018/8/15,凱基,"930,334,270",4.5,968,"12,004",104.9,170.62,116.31,115,,116,
2018/7/25,茂生農經,1240,櫃檯買賣,初上櫃,美國標,"2,001",39,2,265,50,400,2018/8/8,兆豐,"107,474,890",4.5,"1,318","19,418",52.6,110,53.71,47.19,58.44,59,
2018/7/4,奈米醫材,6612,櫃檯買賣,初上櫃,美國標,"2,056",38.07,2,267,50,400,2018/7/18,兆豐,"117,193,380",4.5,"1,318","17,792",56.1,60.12,57,46.45,65.21,69.5,
2018/7/2,晶相光,3530,集中交易市場,初上市,美國標,"6,315",88.6,1,799,50,400,2018/7/16,永豐金,"857,435,210",4.5,"1,520","13,148",128.8,155,135.78,101,159.03,137,
2018/6/28,皇將,4744,櫃檯買賣,初上櫃,美國標,"3,672",23.53,2,459,50,400,2018/7/12,福邦,"133,450,230",4.5,"1,087","20,629",35.11,74,36.34,28,39.85,41.9,
2018/6/28,百德,4563,櫃檯買賣,初上櫃,美國標,"3,196",51.22,1,409,50,400,2018/7/12,日盛,"243,836,510",5,"1,309","13,878",75,82.2,76.29,58.9,86.56,79.8,
2018/6/26,昇陽半,8028,集中交易市場,初上市,美國標,"10,595",20.5,2,"1,324",50,400,2018/7/10,福邦,"355,607,930",4.5,"1,947","49,119",32.58,37.5,33.56,24.6,37.64,38,
2018/6/15,安力-KY,5223,櫃檯買賣,第一上櫃初上櫃,美國標,"3,459",25,1,497,50,400,2018/7/2,國泰,"138,897,200",4,"1,418","32,376",35.72,55,40.16,27,33.933,42,
2018/6/14,逸達,6576,櫃檯買賣,初上櫃,美國標,"5,879",40,2,845,50,400,2018/6/29,凱基,"322,957,130",4.5,"1,343","20,149",53.22,61.26,54.93,45.2,63.54,60,
2018/6/13,榮科,4989,集中交易市場,初上市,美國標,"9,421",21.38,5,"1,347",50,400,2018/6/28,元大,"268,107,500",5,"1,525","42,400",27.8,31.9,28.46,24.8,31.75,31,
2018/5/28,健椿,4561,櫃檯買賣,初上櫃,美國標,"3,161",23.04,2,405,50,400,2018/6/11,第一金,"109,034,670",4,"1,662","33,140",33.61,134.6,34.49,26.5,39.16,44,
2018/5/22,是方,6561,櫃檯買賣,初上櫃,美國標,"5,333",136,2,748,50,400,2018/6/5,元大,"1,053,276,760",5,"2,670","21,212",191.4,213.7,197.5,170,220.97,214,
2018/5/15,大綜電腦系統,3147,櫃檯買賣,初上櫃,美國標,"2,721",15.97,3,391,50,400,2018/5/29,華南,"58,269,490",4,846,"20,027",21,22.8,21.41,19,24.74,21.5,
2018/4/24,聯嘉,6288,集中交易市場,初上市,美國標,"13,691",17.14,2,"1,721",50,400,2018/5/9,台新,"296,478,940",5,"1,634","44,935",21.08,26,21.66,18,25.38,22.8,
2018/4/12,萬達光電,5220,櫃檯買賣,初上櫃,美國標,"3,174",22,2,456,50,400,2018/4/26,兆豐,"93,296,840",4.5,"1,472","29,596",28.7,37.15,29.39,25.3,32.87,30.55,
2018/3/30,吉茂精密,1587,集中交易市場,初上市,美國標,"5,540",15.5,2,722,50,400,2018/4/16,宏遠,"113,320,760",4.2,866,"22,613",20,22.25,20.46,18.91,24.23,23.75,
2018/3/30,瑞祺電通,6416,集中交易市場,初上市,美國標,"5,444",87.83,1,680,50,400,2018/4/16,國泰,"726,718,590",4.5,"2,914","27,556",129.83,145.08,133.49,101,150.76,152,
2018/3/30,五福,2745,櫃檯買賣,初上櫃,美國標,"2,348",22.03,2,303,50,400,2018/4/16,台新,"73,871,940",4.5,887,"13,546",30.79,35,31.46,26,37.75,33.4,
2018/3/30,高端疫苗,6547,櫃檯買賣,初上櫃,美國標,"12,432",25,2,"1,654",50,400,2018/4/17,永豐金,"380,245,280",4.5,"1,289","34,870",29.6,43,30.59,28,36.75,40.4,
2018/3/20,致和證,5864,櫃檯買賣,初上櫃,美國標,"8,000",6.97,2,"1,150",50,400,2018/4/2,統一,"74,104,520",3,903,"47,476",9.25,9.8,9.26,9.06,10.02,9.61,
2018/3/14,綠電再生,8440,櫃檯買賣,初上櫃,美國標,"3,696",13.52,1,482,50,400,2018/3/28,凱基,"84,106,340",4.5,"1,879","46,522",22.2,26,22.76,15.68,28.02,23.5,
2018/3/14,益得,6461,櫃檯買賣,初上櫃,美國標,"6,800",30,2,950,50,400,2018/3/28,元富,"240,979,070",4.5,"1,040","21,987",34,46,35.44,34.8,42.44,37.2,
2018/3/9,聯廣,8497,集中交易市場,初上市,美國標,"4,680",40,1,672,50,400,2018/3/23,國泰,"229,545,830",4,"1,383","23,949",47.6,53.1,49.05,46,58.53,,
2018/2/2,亞航,2630,集中交易市場,初上市,美國標,"9,778",20,2,"1,232",50,400,2018/2/22,台新,"307,361,210",4.5,"2,139","57,470",30.41,36.1,31.43,22,36.17,33.3,
2018/1/24,必應,6625,集中交易市場,初上市,美國標,"2,081",56.52,2,270,50,400,2018/2/7,台新,"151,601,320",4.5,743,"5,396",69,87,72.85,65,88.92,91.3,
2018/1/22,時碩工業,4566,集中交易市場,初上市,美國標,"4,080",55.56,1,586,50,400,2018/2/5,凱基,"276,469,190",4.5,"1,315","16,618",66.01,77.8,67.76,60,76.08,76,
2018/1/16,鋼聯,6581,集中交易市場,初上市,美國標,"7,703",74.14,2,962,50,400,2018/1/30,康和,"797,779,920",4.2,"1,911","17,776",99.6,119.6,103.57,86,124.55,110,
2018/1/9,寶齡富錦,1760,集中交易市場,初上市,美國標,"6,192",45.22,1,834,50,400,2018/1/23,凱基,"350,289,470",4.5,918,"9,610",50.01,68,56.57,52,71.44,60.5,
2018/1/9,杰力,5299,櫃檯買賣,初上櫃,美國標,"2,826",42.74,2,388,50,400,2018/1/23,永豐金,"187,172,980",4.5,"1,402","14,523",64.67,71.3,66.23,50.01,75.76,70,
2018/1/8,金穎生技,1796,櫃檯買賣,初上櫃,美國標,"1,690",29,1,221,50,400,2018/1/22,富邦,"77,314,170",4.5,873,"10,531",43.5,62,45.75,34.8,56.81,54,
2018/1/8,聯廣,8497,集中交易市場,初上市,美國標,"4,680",47.3,1,672,50,400,2018/1/22,國泰,0,4,500,"4,308",0,0,0,0,70.77,,
2018/1/8,慧智,6615,櫃檯買賣,初上櫃,美國標,"1,689",60,2,221,50,400,2018/1/22,元富,"144,212,880",4.5,866,"6,926",82.2,100,85.38,72,101.78,90,
2017/12/27,凱羿-KY,2939,集中交易市場,第一上市初上市,美國標,"2,898",130,2,402,50,400,2018/1/11,永豐金,"543,483,800",4.25,"1,195","9,571",181.7,200,187.54,156,566.24495,213.5,
2017/12/26,特昇-KY,6616,櫃檯買賣,第一上櫃初上櫃,美國標,"1,889",15,2,259,50,400,2018/1/10,永豐金,"39,795,550",4.5,520,"10,339",20,26.8,21.07,18,299.4164,23,
2017/12/20,寬宏,6596,櫃檯買賣,初上櫃,美國標,"1,512",55.5,1,217,50,400,2018/1/4,福邦,"95,009,990",4.5,357,"2,404",59.7,70.1,62.84,62.84,75.4,64.5,
2017/12/20,雙鍵,4764,集中交易市場,初上市,美國標,"4,385",43.24,2,602,50,400,2018/1/4,永豐金,"244,875,340",4.5,"1,057","20,466",55,63.5,55.84,48,63.17,68,
2017/12/14,朋億,6613,櫃檯買賣,初上櫃,美國標,"2,924",120.54,1,420,50,400,2017/12/28,凱基,"472,506,730",4.5,"1,528","10,908",156,180,161.6,135,184.58,177,
2017/11/27,維田,6570,櫃檯買賣,初上櫃,美國標,"1,671",22.5,2,230,50,400,2017/12/11,中國信託,"51,600,950",4.5,749,"10,577",29.8,81.8,30.88,25.2,34.62,32,
2017/11/27,東哥遊艇,8478,集中交易市場,初上市,美國標,"7,596",66.18,2,"1,089",50,400,2017/12/11,凱基,"609,187,900",4.5,951,"12,095",75.5,110,80.2,72.8,95.03,75,
2017/11/21,訊映,4155,集中交易市場,初上市,美國標,"5,927",20,1,750,50,400,2017/12/5,富邦,"168,664,990",4.5,"1,263","36,834",27.6,31.5,28.46,22,32.78,34.5,
2017/11/10,鼎炫-KY,8499,集中交易市場,第一上市初上市,美國標,"4,139",80,2,595,50,400,2017/11/24,凱基,"451,000,270",4.5,"1,241","15,629",104,141,108.96,96,,122,
2017/11/9,益張,8342,櫃檯買賣,初上櫃,美國標,"2,040",36.61,2,265,50,400,2017/11/23,台新,"94,147,800",4.5,865,"11,546",45,53,46.15,41,51.96,58,
2017/10/20,台灣銘板,6593,櫃檯買賣,初上櫃,美國標,"1,205",27.03,2,160,50,400,2017/11/3,台新,"43,064,120",4,628,"11,187",33.8,38.1,35.74,30,38.58,40.2,
2017/10/17,勝品,6556,櫃檯買賣,初上櫃,美國標,"1,440",27,1,190,50,400,2017/10/31,凱基,"54,226,100",4.5,735,"12,553",35.66,45,37.66,29.7,44.06,44.8,
2017/9/18,精測,6510,櫃檯買賣,上櫃增資,美國標,"1,530","1,267.33",1,153,50,400,2017/9/27,元大,"1,772,575,830",1,216,"1,381","1,267.33","1,320","1,283.55",1267.33,1330,1250,
2017/9/13,宏旭-KY,2243,集中交易市場,第一上市初上市,美國標,"3,327",30,1,416,50,400,2017/9/27,富邦,"117,189,940",4.5,580,"12,150",33.2,50,35.22,33,8.91972,34,
2017/9/13,漢來美食,1268,櫃檯買賣,初上櫃,美國標,"2,340",125,1,292,50,400,2017/9/27,凱基,"385,598,290",4.5,"1,000","9,163",160.1,200,164.79,150,186.88,177.5,
2017/9/13,廣錠,6441,櫃檯買賣,初上櫃,美國標,"2,336",42.02,2,291,50,400,2017/9/27,富邦,"139,853,630",4.5,899,"12,181",57.2,152.88,59.87,50,72.67,63,
2017/9/12,虹揚-KY,6573,集中交易市場,第一上市初上市,美國標,"5,099",30,2,637,50,400,2017/9/26,康和,"182,798,620",4,640,"15,988",33.68,51.5,35.85,33.6,2065.65366,38.5,
2017/9/12,泓瀚科技,4741,櫃檯買賣,初上櫃,美國標,"2,628",48,2,328,50,400,2017/9/26,國泰,"171,926,220",4,775,"9,612",61.4,80,65.42,55.2,78.67,67,
2017/8/21,霈方,6574,櫃檯買賣,初上櫃,美國標,"1,354",109.4,2,169,50,400,2017/9/4,永豐金,"176,051,790",4.5,484,"3,542",123.44,145.98,130.02,128,150.78,133,
2017/8/7,穎漢,4562,集中交易市場,初上市,美國標,"5,404",36.36,2,675,50,400,2017/8/21,台新,"237,593,080",4.5,476,"7,011",39.2,110.8,43.97,40,56.94,46.5,
2017/8/7,研揚,6579,集中交易市場,初上市,美國標,"7,344",74.58,2,918,50,400,2017/8/21,元大,"784,671,580",4.5,"1,258","16,701",100,132.25,106.85,88,125.82,114,
2017/8/3,泰福-KY,6541,集中交易市場,第一上市初上市,美國標,"16,560",77,2,"2,070",50,400,2017/8/17,元富,0,4.5,623,"14,177",0,0,0,0,112.23,,
2017/6/12,日成-KY,4807,集中交易市場,第一上市初上市,美國標,"3,053",60,2,381,50,400,2017/6/26,永豐金,"219,014,060",5,812,"7,876",68.8,86.85,71.74,66,73529.2375,67.9,
2017/6/1,申豐,6582,集中交易市場,初上市,美國標,"7,142",60.18,2,892,50,400,2017/6/14,凱基,"534,460,870",4,"1,165","16,968",71,84.85,74.83,68,89.13,74.7,
2017/5/24,全宇-KY,4148,集中交易市場,第一上市初上市,美國標,"5,123",50,2,640,50,400,2017/6/8,永豐金,"307,848,440",4.5,771,"11,865",55.52,100,60.09,55,,69.9,
2017/5/24,集雅社,2937,櫃檯買賣,初上櫃,美國標,"1,945",21.5,2,243,50,400,2017/6/8,第一金,"57,706,490",3,694,"10,950",28.5,62.3,29.67,25.16,33.91,30.2,
2017/5/16,亞獅康-KY,6497,櫃檯買賣,第一上櫃初上櫃,美國標,"10,409",64,1,"1,301",50,400,2017/6/1,凱基,"717,437,550",3,638,"15,144",64,166,68.92,68.92,,,
2017/4/20,王道,2897,集中交易市場,初上市,美國標,"16,000",5.98,5,"2,000",50,500,2017/5/5,元富,"130,436,410",3,"1,306","123,963",8.02,9.3,8.15,7,8.92,9.05,
2017/4/13,三貝德,8489,櫃檯買賣,初上櫃,美國標,"1,700",70.83,2,212,50,500,2017/4/27,凱基,"243,731,170",4,"1,120","8,027",140.1,206,143.37,85,160.12,155,
2017/4/11,迅得,6438,櫃檯買賣,初上櫃,美國標,"4,488",35,2,561,50,500,2017/4/25,台新,"229,715,300",4,"1,831","28,338",50.45,57,51.18,42,56.84,52,
2017/4/10,生華科,6492,櫃檯買賣,初上櫃,美國標,"6,120",135,2,765,50,500,2017/4/24,永豐金,"1,038,479,180",4,"1,180","13,583",165.33,202,169.69,162,187.92,160.5,
2017/4/7,世豐螺絲,2065,櫃檯買賣,初上櫃,美國標,"2,032",28,2,253,50,500,2017/4/21,富邦,"92,698,060",4.5,"1,595","19,137",44.01,54,45.62,32.2,20.24,37.9,
2017/4/5,保瑞,6472,櫃檯買賣,初上櫃,美國標,"2,118",25,2,264,50,500,2017/4/19,台新,"132,084,440",4,"1,741","18,546",60.88,154,62.36,32.5,70.7,57.6,
2017/3/7,勁豐,6577,櫃檯買賣,初上櫃,美國標,"4,752",46.73,2,594,50,500,2017/3/21,群益,"338,165,830",4,"1,438","20,763",68.8,82.56,71.16,52.8,82.65,105,
2017/2/24,晶心科,6533,集中交易市場,初上市,美國標,"2,500",54.25,2,312,50,500,2017/3/14,宏遠,"266,634,540",5,"1,683","19,973",103.66,124,106.65,65.1,120.16,135,
2017/1/10,欣普羅,6560,櫃檯買賣,初上櫃,美國標,"1,373",25.67,2,171,50,500,2017/1/24,日盛,"49,365,810",4,923,"16,701",35.44,38.01,35.95,30.8,39.56,52,
2017/1/3,泰昇-KY,8480,集中交易市場,第一上市初上市,美國標,"3,400",82.31,2,425,50,500,2017/1/17,兆豐,"381,534,290",2.5,"1,066","12,763",110.22,124,112.22,107,299.4164,114.5,
2016/1/13,福邦證,6026,櫃檯買賣,初上櫃,美國標,8000,7.38,5,"1,000",60,500,2016/1/27,中國信託,76012650,2.5,426,"29,313",9.5,10,9.5,9.5,10.28,9.5,
2016/3/10,精測,6510,櫃檯買賣,初上櫃,美國標,1896,300,3,236,50,500,2016/3/24,中國信託,854748380,2.5,"2,667","17,457",440.2,482,450.82,360,478.18,590,
2016/5/5,寒舍,2739,集中市場,初上市,美國標,7723,38.8,3,965,50,500,2016/5/19,富邦,414385780,3.5,"1,598","33,686",52,62,53.66,50.44,59.74,52,
2016/5/17,愛普,6531,集中市場,初上市,美國標,4885,71,2,610,50,500,2016/5/31,永豐金,460032270,5,"1,154","15,591",92,102,94.17,92.3,103.93,99,
2016/6/1,達爾膚,6523,櫃檯買賣,初上櫃,美國標,2538,150.4,2,317,50,500,2016/6/16,元大,686694130,5,"1,769","12,239",257.21,303.62,270.57,188,305.91,280,
2016/7/5,藥華藥,6446,櫃檯買賣,初上櫃,美國標,14400,132.5,2,"1,800",50,500,2016/7/19,凱基,2502986750,4.5,"2,293","35,123",165,200,173.82,159,202.83,200,
2016/7/6,力達-KY,4552,集中市場,第一上市初上市,美國標,7999,80,2,"1,000",50,500,2016/7/20,凱基,925187300,4,"1,254","18,527",101.1,185,115.66,96,,117,
2016/7/13,益安,6499,櫃檯買賣,初上櫃,美國標,4080,120,2,510,50,500,2016/7/27,元富,669504320,5,"1,166","8,476",157.1,182.1,164.09,132,191.37,169,
2016/8/24,大國鋼,8415,櫃檯買賣,初上櫃,美國標,8000,12,2,"1,000",50,500,2016/9/7,統一,136024850,3,791,"32,296",17,17.5,17,15,18.55,18,
2016/8/25,隆中,6542,櫃檯買賣,初上櫃,美國標,2817,96.36,2,352,50,500,2016/9/8,元大,323704440,5,847,"7,082",111,125.3,114.91,106,133.36,108,
2016/8/25,山林水,8473,集中市場,初上市,美國標,9378,41.69,2,"1,172",50,500,2016/9/8,兆豐,514252800,2.5,"1,777","41,221",53.5,60,54.84,54.2,60.96,60.3,
2016/8/31,長華科,6548,櫃檯買賣,初上櫃,美國標,1700,87.93,2,212,50,500,2016/9/13,凱基,211965920,5,"1,167","10,298",120.1,135,124.69,102,159.35,133,
2016/9/5,岱宇,1598,集中市場,初上市,美國標,7437,37.2,2,929,50,500,2016/9/20,國泰,364462230,4,"1,085","14,793",47.12,55.8,49.01,46.5,56.42,48.9,
2016/9/9,順藥,6535,櫃檯買賣,初上櫃,美國標,6800,45,3,680,50,500,2016/9/26,元富,383607080,5,941,"10,655",53.78,67.6,56.41,54,67.26,57.5,
2016/9/9,生展,8279,櫃檯買賣,初上櫃,美國標,1681,50.69,2,210,50,500,2016/9/26,群益,111950060,3.5,"1,199","13,269",65.3,71.22,66.6,58.8,74.31,73,
2016/10/3,廣越,4438,集中市場,初上市,美國標,8302,139.29,2,"1,037",50,500,2016/10/18,凱基,1456834850,5,"2,176","19,956",169,204,175.48,156,206.55,183,
2016/10/13,台灣高鐵,2633,集中市場,初上市,美國標,16000,11.64,2,"2,000",50,500,2016/10/27,富邦,284890890,5,"3,098","171,292",17.21,20,17.81,15.13,19.21,20.6,
2016/10/18,美吉吉-KY,8466,集中市場,第一上市初上市,美國標,5284,69,2,660,50,500,2016/11/1,凱基,575400880,4,"2,622","42,687",104.9,193.5,108.89,82.8,,138,
2016/10/28,康控-KY,4943,集中市場,第一上市初上市,美國標,7370,49,2,921,50,500,2016/11/11,中國信託,446617850,5,823,"16,682",59.1,75.23,60.6,58.8,,59,
2016/11/28,冠科-KY　,6554,櫃檯買賣,第一上櫃初上櫃,美國標,9447,45.67,2,"1,180",50,500,2016/12/12,元大,526970680,5,743,"13,925",53.1,68,55.78,55.78,,,
2016/11/29,吉源-KY,8488,集中市場,第一上市初上市,美國標,5399,37.5,2,675,50,500,2016/12/13,凱基,245282970,4,721,"14,667",43.11,88,45.43,42,,48,
2016/12/5,麗清,3346,集中市場,初上市,美國標,5508,24,2,688,50,500,2016/12/19,元大,195336480,5,"1,032","27,085",33.76,38.2,35.46,30,39.55,46,
2016/12/7,醫揚,6569,櫃檯買賣,初上櫃,美國標,1639,152.89,2,204,50,500,2016/12/21,台新,350256130,4,"1,052","6,534",207.11,230.1,213.7,185,238.84,250,
2016/12/14,宏觀,6568,櫃檯買賣,初上櫃,美國標,1521,108.8,2,190,50,500,2016/12/28,兆豐,213690830,2.5,886,"8,273",138.21,148,140.49,136,151.74,144,
2016/12/16,虹堡,5258,集中市場,初上市,美國標,5929,35,2,741,50,500,2016/12/30,台新,233883480,4,311,"10,065",37.3,44,39.45,39.45,44.15,44.8,
2017/1/3,泰昇-KY,8480,集中市場,第一上市初上市,美國標,3400,82.31,2,425,50,500,2017/1/17,兆豐,0,2.5,,,0,0,0,0,299.41644,,
